    6   57  Pure hydrogen grid                                                                                                             Tue Feb 28 09:08:53 2006
 Teff  logg  M/Mo  Mbol     BC    U      B      V      R      I      J      H      K      u      g      r      i      z      y      b-y    u-b    v-y    V-I    G-R    U-V    U-G    B-V     Age
  1500. 7.0  0.150 19.064  1.003 21.163 19.920 18.061 17.897 19.767 20.346 20.057 22.334 22.048 19.001 17.779 19.783 20.053 18.014  1.353  3.456  2.748 -2.408  0.285  4.102  3.060  2.020 1.623E+10
  1750. 7.0  0.151 18.393  0.795 20.416 19.350 17.598 17.240 18.455 19.074 18.951 20.617 21.288 18.500 17.168 18.575 18.868 17.575  1.262  3.181  2.548 -1.432  0.794  3.759  2.800  1.852 1.338E+10
  2000. 7.0  0.151 17.812  0.569 19.795 18.884 17.243 16.724 17.357 17.965 17.982 19.165 20.656 18.094 16.725 17.559 17.858 17.229  1.179  2.937  2.370 -0.612  1.196  3.456  2.572  1.704 1.078E+10
  2250. 7.0  0.151 17.297  0.345 19.272 18.493 16.953 16.312 16.472 17.037 17.162 17.992 20.125 17.754 16.403 16.748 17.026 16.942  1.106  2.733  2.220  0.026  1.450  3.201  2.380  1.578 7.879E+09
  2500. 7.0  0.152 16.837  0.137 18.824 18.154 16.700 15.975 15.766 16.258 16.456 17.048 19.671 17.455 16.151 16.125 16.334 16.689  1.047  2.563  2.097  0.505  1.557  2.992  2.224  1.477 5.479E+09
  2750. 7.0  0.152 16.420 -0.050 18.424 17.851 16.470 15.692 15.217 15.576 15.821 16.233 19.266 17.187 15.934 15.660 15.755 16.459  0.997  2.413  1.993  0.834  1.577  2.811  2.086  1.392 3.943E+09
  3000. 7.0  0.152 16.039 -0.215 18.053 17.569 16.254 15.453 14.812 14.961 15.214 15.504 18.891 16.934 15.737 15.322 15.286 16.242  0.952  2.276  1.899  1.018  1.547  2.647  1.961  1.315 3.472E+09
  3250. 7.0  0.153 15.689 -0.350 17.692 17.290 16.039 15.243 14.520 14.406 14.626 14.825 18.527 16.684 15.545 15.071 14.921 16.027  0.909  2.151  1.811  1.085  1.488  2.495  1.846  1.243 3.145E+09
  3500. 7.0  0.153 15.362 -0.461 17.341 17.014 15.823 15.049 14.303 13.926 14.066 14.190 18.173 16.435 15.353 14.871 14.649 15.810  0.869  2.037  1.729  1.077  1.415  2.356  1.742  1.175 2.927E+09
  3750. 7.0  0.154 15.058 -0.535 16.978 16.723 15.593 14.850 14.115 13.530 13.549 13.597 17.808 16.170 15.148 14.683 14.434 15.579  0.828  1.927  1.648  1.030  1.334  2.220  1.642  1.108 2.803E+09
  4000. 7.0  0.155 14.771 -0.561 16.579 16.397 15.332 14.629 13.923 13.229 13.098 13.083 17.407 15.873 14.916 14.483 14.237 15.318  0.785  1.815  1.561  0.959  1.242  2.079  1.539  1.036 2.550E+09
  4250. 7.0  0.157 14.497 -0.537 16.131 16.028 15.033 14.376 13.711 13.005 12.732 12.675 16.957 15.533 14.650 14.257 14.035 15.018  0.736  1.695  1.467  0.871  1.139  1.927  1.429  0.958 2.229E+09
  4500. 7.0  0.159 14.235 -0.477 15.651 15.631 14.712 14.104 13.484 12.820 12.466 12.366 16.475 15.167 14.364 14.015 13.825 14.697  0.685  1.570  1.367  0.775  1.027  1.768  1.314  0.875 1.955E+09
  4750. 7.0  0.162 13.975 -0.403 15.157 15.220 14.379 13.820 13.247 12.639 12.266 12.145 15.980 14.789 14.066 13.763 13.605 14.363  0.633  1.445  1.265  0.677  0.914  1.606  1.198  0.790 1.674E+09
  5000. 7.0  0.168 13.717 -0.334 14.678 14.819 14.051 13.540 13.012 12.460 12.096 11.980 15.499 14.418 13.773 13.512 13.386 14.036  0.583  1.326  1.169  0.585  0.807  1.454  1.089  0.710 1.360E+09
  5250. 7.0  0.174 13.467 -0.278 14.231 14.445 13.744 13.276 12.789 12.288 11.944 11.841 15.052 14.071 13.499 13.276 13.178 13.729  0.538  1.217  1.082  0.500  0.709  1.314  0.989  0.636 1.147E+09
  5500. 7.0  0.179 13.230 -0.237 13.820 14.104 13.467 13.039 12.588 12.133 11.806 11.719 14.641 13.756 13.251 13.063 12.991 13.452  0.495  1.112  0.999  0.422  0.617  1.181  0.893  0.566 9.696E+08
  6000. 7.0  0.188 12.802 -0.199 13.111 13.522 13.001 12.643 12.259 11.877 11.582 11.525 13.932 13.221 12.839 12.712 12.684 12.987  0.417  0.923  0.850  0.285  0.452  0.942  0.722  0.438 7.762E+08
  6500. 7.0  0.192 12.428 -0.192 12.550 13.050 12.620 12.320 11.991 11.677 11.418 11.384 13.373 12.785 12.502 12.427 12.437 12.608  0.353  0.789  0.734  0.171  0.317  0.767  0.603  0.335 6.329E+08
  7000. 7.0  0.197 12.083 -0.202 12.091 12.645 12.284 12.031 11.750 11.498 11.278 11.262 12.916 12.405 12.202 12.171 12.214 12.273  0.302  0.707  0.647  0.076  0.206  0.652  0.534  0.255 5.182E+08
  7500. 7.0  0.201 11.761 -0.218 11.708 12.286 11.979 11.767 11.529 11.336 11.152 11.152 12.536 12.065 11.929 11.936 12.009 11.969  0.258  0.669  0.581 -0.008  0.109  0.586  0.506  0.189 4.253E+08
  8000. 7.0  0.205 11.459 -0.237 11.384 11.963 11.696 11.524 11.323 11.185 11.039 11.050 12.215 11.755 11.677 11.717 11.820 11.687  0.219  0.665  0.534 -0.085  0.022  0.558  0.512  0.137 3.464E+08
  8500. 7.0  0.209 11.174 -0.253 11.104 11.664 11.428 11.292 11.131 11.044 10.935 10.955 11.939 11.464 11.439 11.512 11.644 11.419  0.185  0.689  0.501 -0.162 -0.060  0.561  0.545  0.095 2.836E+08
  9000. 7.0  0.213 10.906 -0.269 10.859 11.388 11.175 11.076 10.950 10.913 10.837 10.866 11.697 11.194 11.215 11.319 11.479 11.166  0.154  0.732  0.480 -0.236 -0.137  0.584  0.594  0.062 2.318E+08
  9500. 7.0  0.217 10.652 -0.291 10.641 11.136 10.942 10.878 10.788 10.794 10.751 10.784 11.483 10.947 11.012 11.145 11.331 10.934  0.125  0.778  0.464 -0.308 -0.209  0.612  0.644  0.035 1.878E+08
 10000. 7.0  0.220 10.411 -0.332 10.449 10.920 10.744 10.711 10.654 10.695 10.677 10.713 11.293 10.734 10.839 11.000 11.206 10.736  0.100  0.810  0.450 -0.374 -0.274  0.626  0.679  0.011 1.524E+08
 10500. 7.0  0.223 10.185 -0.398 10.282 10.740 10.583 10.577 10.547 10.617 10.616 10.654 11.129 10.559 10.700 10.885 11.109 10.575  0.075  0.827  0.432 -0.429 -0.332  0.624  0.696 -0.015 1.239E+08
 11000. 7.0  0.226  9.969 -0.494 10.149 10.601 10.463 10.478 10.469 10.558 10.568 10.605 10.996 10.425 10.597 10.801 11.036 10.455  0.053  0.833  0.415 -0.472 -0.380  0.611  0.701 -0.038 9.931E+07
 11500. 7.0  0.229  9.763 -0.602 10.028 10.483 10.365 10.396 10.403 10.506 10.523 10.559 10.875 10.313 10.512 10.732 10.974 10.359  0.032  0.826  0.395 -0.504 -0.420  0.586  0.692 -0.063 7.990E+07
 12000. 7.0  0.231  9.566 -0.702  9.891 10.363 10.267 10.310 10.330 10.448 10.471 10.509 10.738 10.201 10.423 10.656 10.903 10.262  0.016  0.799  0.366 -0.530 -0.452  0.546  0.667 -0.090 6.589E+07
 12500. 7.0  0.234  9.376 -0.799  9.749 10.248 10.175 10.226 10.257 10.389 10.417 10.458 10.597 10.094 10.336 10.579 10.833 10.170  0.003  0.757  0.333 -0.548 -0.477  0.495  0.628 -0.116 5.545E+07
 13000. 7.0  0.237  9.194 -0.896  9.612 10.141 10.090 10.147 10.187 10.332 10.366 10.408 10.460  9.995 10.255 10.507 10.766 10.086 -0.007  0.712  0.301 -0.562 -0.496  0.443  0.586 -0.140 4.702E+07
 13500. 7.0  0.239  9.018 -0.990  9.476 10.038 10.008 10.070 10.121 10.277 10.316 10.360 10.323  9.900 10.176 10.438 10.703 10.005 -0.016  0.662  0.269 -0.577 -0.514  0.387  0.540 -0.162 3.995E+07
 14000. 7.0  0.242  8.848 -1.085  9.352  9.945  9.933 10.000 10.057 10.225 10.267 10.314 10.200  9.814 10.104 10.372 10.641  9.931 -0.023  0.617  0.243 -0.588 -0.528  0.338  0.498 -0.180 3.464E+07
 14500. 7.0  0.244  8.684 -1.177  9.234  9.857  9.861  9.932  9.996 10.174 10.220 10.269 10.082  9.733 10.035 10.309 10.582  9.860 -0.030  0.574  0.219 -0.597 -0.541  0.290  0.457 -0.196 2.999E+07
 15000. 7.0  0.247  8.525 -1.267  9.121  9.773  9.792  9.866  9.936 10.124 10.173 10.225  9.968  9.655  9.968 10.248 10.524  9.792 -0.036  0.531  0.197 -0.606 -0.552  0.245  0.417 -0.209 2.620E+07
 15500. 7.0  0.250  8.372 -1.353  9.012  9.692  9.725  9.803  9.878 10.076 10.129 10.182  9.859  9.580  9.903 10.189 10.469  9.725 -0.041  0.491  0.178 -0.615 -0.563  0.201  0.378 -0.222 2.306E+07
 16000. 7.0  0.252  8.223 -1.437  8.907  9.615  9.660  9.741  9.823 10.029 10.085 10.140  9.754  9.508  9.841 10.131 10.415  9.661 -0.046  0.452  0.160 -0.623 -0.572  0.160  0.342 -0.233 2.034E+07
 16500. 7.0  0.254  8.079 -1.519  8.806  9.541  9.598  9.682  9.769  9.984 10.042 10.099  9.653  9.438  9.780 10.076 10.363  9.599 -0.050  0.415  0.144 -0.632 -0.582  0.121  0.306 -0.243 1.805E+07
 17000. 7.0  0.257  7.939 -1.597  8.710  9.470  9.537  9.623  9.711  9.935  9.996 10.056  9.556  9.371  9.721 10.017 10.308  9.539 -0.054  0.380  0.129 -0.634 -0.589  0.084  0.273 -0.253 1.600E+07
 20000. 7.0  0.270  7.180 -2.029  8.208  9.091  9.209  9.310  9.424  9.689  9.764  9.832  9.055  9.012  9.404  9.721 10.029  9.213 -0.076  0.201  0.057 -0.669 -0.632 -0.107  0.102 -0.298 7.439E+06
 25000. 7.0  0.288  6.141 -2.606  7.527  8.561  8.747  8.868  9.011  9.330  9.424  9.509  8.373  8.511  8.956  9.299  9.628  8.753 -0.102 -0.005 -0.032 -0.717 -0.686 -0.326 -0.094 -0.355 2.546E+06
 30000. 7.0  0.304  5.291 -3.023  6.926  8.074  8.313  8.449  8.614  8.977  9.087  9.183  7.771  8.047  8.532  8.896  9.240  8.322 -0.120 -0.165 -0.102 -0.752 -0.726 -0.495 -0.246 -0.397 1.096E+06
 35000. 7.0  0.320  4.566 -3.388  6.460  7.680  7.954  8.094  8.270  8.655  8.770  8.868  7.305  7.669  8.176  8.549  8.900  7.964 -0.129 -0.268 -0.149 -0.767 -0.742 -0.602 -0.347 -0.419 5.757E+05
 40000. 7.0  0.338  3.925 -3.776  6.154  7.409  7.701  7.844  8.025  8.419  8.534  8.632  6.999  7.406  7.925  8.303  8.657  7.712 -0.134 -0.318 -0.173 -0.774 -0.751 -0.655 -0.395 -0.432 3.166E+05
 45000. 7.0  0.353  3.368 -4.149  5.938  7.212  7.517  7.662  7.845  8.244  8.360  8.457  6.782  7.214  7.741  8.122  8.478  7.527 -0.137 -0.348 -0.189 -0.778 -0.757 -0.687 -0.424 -0.440 1.857E+05
 50000. 7.0  0.366  2.869 -4.495  5.763  7.052  7.364  7.511  7.697  8.098  8.215  8.311  6.608  7.057  7.590  7.973  8.330  7.375 -0.140 -0.369 -0.200 -0.782 -0.762 -0.709 -0.445 -0.446 1.156E+05
 55000. 7.0  0.379  2.417 -4.815  5.613  6.912  7.231  7.379  7.567  7.971  8.088  8.184  6.458  6.921  7.458  7.842  8.200  7.243 -0.141 -0.385 -0.209 -0.784 -0.765 -0.726 -0.460 -0.451 7.754E+04
 60000. 7.0  0.394  1.999 -5.109  5.476  6.783  7.108  7.256  7.445  7.851  7.968  8.064  6.320  6.794  7.334  7.721  8.079  7.119 -0.143 -0.398 -0.216 -0.786 -0.768 -0.740 -0.472 -0.455 5.576E+04
 65000. 7.0  0.411  1.605 -5.381  5.342  6.657  6.985  7.135  7.325  7.733  7.850  7.946  6.187  6.669  7.213  7.600  7.959  6.997 -0.144 -0.408 -0.222 -0.788 -0.770 -0.751 -0.482 -0.458 4.709E+04
 70000. 7.0  0.430  1.233 -5.633  5.213  6.533  6.866  7.016  7.207  7.616  7.734  7.831  6.058  6.547  7.094  7.482  7.842  6.878 -0.145 -0.417 -0.227 -0.790 -0.772 -0.760 -0.491 -0.461 4.410E+04
 75000. 7.0  0.452  0.879 -5.868  5.085  6.411  6.746  6.897  7.089  7.500  7.618  7.715  5.930  6.426  6.975  7.364  7.724  6.759 -0.147 -0.425 -0.232 -0.792 -0.774 -0.768 -0.498 -0.463 3.458E+04
 80000. 7.0  0.472  0.552 -6.087  4.970  6.300  6.639  6.790  6.983  7.395  7.514  7.610  5.815  6.316  6.868  7.258  7.618  6.651 -0.147 -0.432 -0.236 -0.793 -0.776 -0.776 -0.504 -0.465 2.808E+04
 85000. 7.0  0.489  0.251 -6.293  4.869  6.202  6.544  6.696  6.890  7.303  7.422  7.519  5.714  6.220  6.773  7.164  7.525  6.556 -0.148 -0.437 -0.239 -0.794 -0.778 -0.782 -0.510 -0.468 2.660E+04
 90000. 7.0  0.506 -0.034 -6.487  4.771  6.108  6.452  6.605  6.800  7.214  7.333  7.430  5.617  6.127  6.682  7.074  7.435  6.465 -0.149 -0.443 -0.243 -0.796 -0.779 -0.788 -0.515 -0.469 2.945E+04
100000. 7.0  0.543 -0.569 -6.842  4.583  5.926  6.273  6.427  6.623  7.040  7.160  7.257  5.428  5.945  6.504  6.897  7.259  6.286 -0.151 -0.452 -0.248 -0.798 -0.782 -0.797 -0.523 -0.473 3.168E+04
110000. 7.0  0.576 -1.046 -7.163  4.418  5.765  6.117  6.272  6.469  6.888  7.008  7.106  5.263  5.787  6.348  6.742  7.106  6.129 -0.152 -0.459 -0.253 -0.801 -0.785 -0.805 -0.530 -0.475 1.863E+04
  1500. 7.5  0.317 19.506  1.099 21.247 20.118 18.407 18.430 20.551 21.091 20.755 23.156 22.123 19.248 18.304 20.542 20.801 18.334  1.256  3.277  2.583 -2.916 -0.208  3.853  2.892  1.885 1.581E+10
  1750. 7.5  0.317 18.836  0.896 20.529 19.572 17.939 17.735 19.158 19.727 19.566 21.313 21.394 18.767 17.643 19.273 19.541 17.900  1.184  3.010  2.405 -1.833  0.375  3.532  2.640  1.733 1.392E+10
  2000. 7.5  0.317 18.256  0.686 19.929 19.119 17.569 17.178 18.027 18.618 18.603 19.863 20.784 18.367 17.146 18.211 18.509 17.547  1.119  2.779  2.253 -0.981  0.859  3.258  2.425  1.607 1.234E+10
  2250. 7.5  0.317 17.744  0.468 19.431 18.746 17.276 16.740 17.098 17.665 17.760 18.645 20.279 18.037 16.786 17.347 17.644 17.261  1.061  2.587  2.124 -0.293  1.198  3.029  2.247  1.501 1.102E+10
  2500. 7.5  0.317 17.285  0.256 19.006 18.424 17.029 16.384 16.342 16.862 17.046 17.672 19.849 17.752 16.517 16.663 16.917 17.017  1.008  2.428  2.013  0.248  1.392  2.836  2.101  1.409 1.005E+10
  2750. 7.5  0.317 16.871  0.061 18.635 18.139 16.810 16.092 15.743 16.162 16.397 16.842 19.474 17.498 16.301 16.146 16.306 16.798  0.963  2.296  1.919  0.644  1.465  2.675  1.980  1.332 8.878E+09
  3000. 7.5  0.317 16.492 -0.109 18.290 17.870 16.601 15.845 15.288 15.538 15.799 16.113 19.126 17.256 16.106 15.765 15.798 16.589  0.922  2.179  1.836  0.891  1.466  2.533  1.873  1.263 7.765E+09
  3250. 7.5  0.318 16.144 -0.254 17.961 17.610 16.398 15.633 14.963 14.977 15.220 15.441 18.794 17.022 15.920 15.492 15.401 16.385  0.884  2.072  1.758  1.003  1.427  2.402  1.775  1.199 6.749E+09
  3500. 7.5  0.318 15.821 -0.370 17.634 17.348 16.191 15.440 14.727 14.479 14.664 14.817 18.465 16.784 15.735 15.280 15.101 16.177  0.847  1.973  1.685  1.023  1.367  2.279  1.684  1.138 5.702E+09
  3750. 7.5  0.319 15.519 -0.454 17.298 17.076 15.973 15.249 14.535 14.057 14.143 14.230 18.127 16.536 15.541 15.095 14.872 15.959  0.810  1.876  1.611  0.991  1.295  2.159  1.596  1.078 4.723E+09
  4000. 7.5  0.319 15.237 -0.498 16.937 16.781 15.736 15.046 14.354 13.728 13.676 13.699 17.765 16.265 15.329 14.908 14.678 15.721  0.771  1.777  1.534  0.932  1.213  2.033  1.505  1.014 4.157E+09
  4250. 7.5  0.320 14.972 -0.495 16.534 16.448 15.467 14.818 14.161 13.488 13.287 13.260 17.360 15.959 15.090 14.704 14.490 15.452  0.727  1.670  1.449  0.854  1.119  1.897  1.406  0.943 3.670E+09
  4500. 7.5  0.321 14.720 -0.455 16.097 16.086 15.175 14.571 13.956 13.305 12.997 12.924 16.921 15.626 14.830 14.485 14.299 15.160  0.680  1.556  1.357  0.766  1.017  1.751  1.301  0.866 3.136E+09
  4750. 7.5  0.323 14.479 -0.394 15.644 15.711 14.873 14.316 13.745 13.143 12.795 12.687 16.467 15.281 14.562 14.260 14.104 14.857  0.631  1.438  1.261  0.674  0.910  1.599  1.192  0.787 2.657E+09
  5000. 7.5  0.326 14.247 -0.329 15.199 15.342 14.576 14.065 13.538 12.990 12.640 12.527 16.020 14.942 14.298 14.038 13.913 14.560  0.583  1.322  1.167  0.583  0.806  1.450  1.085  0.709 2.162E+09
  5250. 7.5  0.329 14.022 -0.274 14.780 14.996 14.296 13.828 13.341 12.844 12.509 12.407 15.602 14.623 14.050 13.827 13.731 14.281  0.538  1.214  1.081  0.499  0.709  1.312  0.987  0.636 1.739E+09
  5500. 7.5  0.333 13.809 -0.232 14.398 14.680 14.041 13.612 13.162 12.712 12.395 12.306 15.219 14.331 13.824 13.636 13.565 14.026  0.497  1.116  1.001  0.423  0.619  1.185  0.896  0.569 1.512E+09
