    5   31  Pure helium grid                                                                                                               Tue Feb 28 09:08:53 2006
 Teff  logg  M/Mo  Mbol     BC    U      B      V      R      I      J      H      K      u      g      r      i      z      y      b-y    u-b    v-y    V-I    G-R    U-V    U-G    B-V     Age
  3500. 7.0  0.150 15.387 -2.376 21.050 19.856 17.763 16.305 14.993 13.531 12.977 12.681 21.928 18.885 16.851 15.771 15.071 17.788  1.505  3.365  2.924  2.367  2.848  4.171  3.002  2.179 2.902E+09
  3750. 7.0  0.151 15.083 -1.880 19.973 18.908 16.963 15.653 14.474 13.261 12.798 12.547 20.842 18.000 16.136 15.195 14.621 16.977  1.399  3.166  2.734  2.080  2.575  3.889  2.812  2.018 2.792E+09
  4000. 7.0  0.151 14.797 -1.437 18.964 18.026 16.233 15.074 14.034 13.040 12.649 12.434 19.826 17.182 15.497 14.698 14.245 16.237  1.289  2.974  2.539  1.785  2.289  3.608  2.627  1.853 2.489E+09
  4250. 7.0  0.152 14.526 -1.047 18.005 17.199 15.574 14.568 13.667 12.860 12.525 12.339 18.859 16.424 14.934 14.279 13.936 15.567  1.168  2.771  2.326  1.483  1.983  3.307  2.432  1.672 2.193E+09
  4500. 7.0  0.153 14.271 -0.723 17.093 16.435 14.993 14.138 13.369 12.712 12.421 12.256 17.940 15.736 14.454 13.935 13.686 14.980  1.035  2.543  2.089  1.191  1.666  2.972  2.213  1.471 1.955E+09
  4750. 7.0  0.155 14.026 -0.473 16.239 15.748 14.499 13.779 13.125 12.584 12.326 12.178 17.079 15.131 14.056 13.654 13.480 14.481  0.897  2.285  1.836  0.932  1.360  2.604  1.966  1.257 1.737E+09
  5000. 7.0  0.157 13.791 -0.299 15.466 15.154 14.090 13.482 12.920 12.467 12.234 12.101 16.298 14.615 13.729 13.421 13.304 14.070  0.768  2.010  1.589  0.721  1.094  2.229  1.704  1.049 1.546E+09
  5250. 7.0  0.159 13.564 -0.187 14.790 14.653 13.751 13.230 12.740 12.355 12.144 12.023 15.616 14.184 13.456 13.220 13.146 13.732  0.658  1.740  1.370  0.559  0.878  1.881  1.452  0.867 1.376E+09
  5500. 7.0  0.161 13.344 -0.121 14.216 14.236 13.465 13.012 12.577 12.246 12.053 11.944 15.038 13.823 13.222 13.040 13.000 13.448  0.571  1.499  1.191  0.435  0.711  1.583  1.229  0.720 1.226E+09
  6000. 7.0  0.167 12.930 -0.070 13.328 13.586 13.000 12.638 12.283 12.036 11.875 11.787 14.147 13.252 12.827 12.723 12.731 12.985  0.453  1.140  0.942  0.262  0.482  1.155  0.904  0.516 9.877E+08
  6500. 7.0  0.171 12.556 -0.071 12.684 13.095 12.627 12.325 12.028 11.847 11.713 11.644 13.503 12.809 12.499 12.450 12.495 12.613  0.378  0.913  0.786  0.143  0.333  0.886  0.700  0.389 8.250E+08
  7000. 7.0  0.175 12.208 -0.094 12.175 12.688 12.303 12.046 11.794 11.669 11.560 11.508 12.994 12.435 12.210 12.202 12.277 12.291  0.324  0.761  0.678  0.053  0.223  0.703  0.564  0.300 6.926E+08
  7500. 7.0  0.180 11.881 -0.131 11.744 12.333 12.012 11.792 11.577 11.501 11.414 11.377 12.565 12.106 11.947 11.974 12.074 12.002  0.283  0.649  0.595 -0.021  0.136  0.567  0.463  0.232 5.817E+08
  8000. 7.0  0.184 11.574 -0.179 11.368 12.020 11.753 11.563 11.381 11.347 11.279 11.256 12.190 11.814 11.711 11.768 11.889 11.743  0.248  0.556  0.525 -0.084  0.062  0.453  0.379  0.174 4.898E+08
  8500. 7.0  0.189 11.283 -0.238 11.033 11.739 11.520 11.358 11.205 11.207 11.156 11.145 11.856 11.552 11.499 11.583 11.723 11.512  0.217  0.475  0.464 -0.140 -0.004  0.352  0.306  0.123 4.142E+08
  9000. 7.0  0.194 11.007 -0.305 10.733 11.488 11.311 11.173 11.046 11.081 11.044 11.044 11.556 11.316 11.309 11.415 11.573 11.304  0.190  0.403  0.409 -0.190 -0.062  0.264  0.241  0.078 3.520E+08
  9500. 7.0  0.199 10.745 -0.378 10.463 11.261 11.123 11.006 10.902 10.966 10.943 10.953 11.288 11.105 11.137 11.265 11.437 11.117  0.165  0.339  0.360 -0.234 -0.114  0.185  0.184  0.038 3.010E+08
 10000. 7.0  0.202 10.503 -0.456 10.227 11.063 10.959 10.861 10.778 10.868 10.856 10.874 11.052 10.919 10.988 11.134 11.320 10.954  0.143  0.283  0.317 -0.273 -0.161  0.115  0.133  0.002 2.601E+08
 11000. 7.0  0.208 10.058 -0.608  9.822 10.718 10.666 10.599 10.549 10.681 10.689 10.720 10.649 10.593 10.720 10.895 11.103 10.661  0.110  0.196  0.252 -0.338 -0.237  0.008  0.056 -0.056 1.995E+08
 12000. 7.0  0.214  9.653 -0.769  9.486 10.430 10.421 10.381 10.359 10.529 10.554 10.596 10.314 10.321 10.496 10.697 10.923 10.417  0.081  0.127  0.198 -0.394 -0.302 -0.078 -0.005 -0.106 1.551E+08
